Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Valiant Laboratories Ltd,06-Oct-23,140,161,92.71,-33.78
Vinyas Innovative Technologies Ltd,06-Oct-23,165,330,664.2,302.55
Organic Recycling Systems Ltd,06-Oct-23,200,215,284,42
Inspire Films Ltd,05-Oct-23,59,67,24.35,-58.73
Newjaisa Technologies Ltd,05-Oct-23,47,71,64,36.17
Updater Services Ltd,04-Oct-23,300,299.9,319.05,6.35
Mangalam Alloys Ltd,04-Oct-23,80,80,31.75,-60.31
Digikore Studios Ltd,04-Oct-23,171,270,194.35,13.65
JSW Infrastructure Ltd,03-Oct-23,119,143,259.3,117.9
Saakshi Medtech & Panels Ltd,03-Oct-23,97,146,156.7,61.55
Manoj Vaibhav Gems `N` Jewellers Ltd,03-Oct-23,215,215,220.55,2.58
Master Components Ltd,29-Sep-23,140,140.4,271.25,93.75
Yatra Online Ltd,28-Sep-23,142,130,77.8,-45.21
Cellecor Gadgets Ltd,28-Sep-23,92,92,55.15,-40.05
Hi-Green Carbon Ltd,28-Sep-23,75,77,239.6,219.47
Marco Cables & Conductors Ltd,28-Sep-23,36,38.7,42.6,18.33
SignatureGlobal India Ltd,27-Sep-23,385,445,1088.6,182.75
Kody Technolab Ltd,27-Sep-23,160,170,1101.6,588.5
Sai Silks (Kalamandir) Ltd,27-Sep-23,222,230.1,156.09,-29.69
Techknowgreen Solutions Ltd,27-Sep-23,86,87,158.6,84.42
Madhusudan Masala Ltd,26-Sep-23,70,120,157.4,124.86
Kundan Edifice Ltd,26-Sep-23,91,75,130,42.86
Chavda Infra Ltd,25-Sep-23,65,91,149.6,130.15
Holmarc Opto-Mechatronics Ltd,25-Sep-23,40,65.25,155,287.5
Zaggle Prepaid Ocean Services Ltd,22-Sep-23,164,162,345.85,110.88
